id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Nf2	-2.0185	0.002475	-0.40559	1
Arid4a	-2.3312	0.006188	-1.1205	0.996554
Fbxw7	-1.6733	0.006188	-0.96396	0.647265
Ralgapb	-1.9114	0.006931	-1.2628	0.228192
Slc33a1	-1.9284	0.009194	-1.0076	0.877464
Qrich1	-1.2395	0.009351	-0.2124	1
Cdkn2a	-0.7519	0.023267	-0.14926	1
Mapk6	-1.4209	0.027935	-0.70997	0.910098
Arhgef16	-1.3388	0.036819	-0.71282	0.742961
Mnt	-1.1061	0.055198	-0.077037	1
Gfra4	-1.5032	0.079915	-1.1167	0.731357
