id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Lrrc8d	1.6382	0.090442	0.96295	0.39703
Vps16	1.7617	0.033911	1.261	0.39703
Sdhc	2.3247	0.033489	1.5511	0.569535
Glod5	2.5196	0.033489	1.0875	0.754449
Sdha	2.2423	0.00495	1.1116	0.303564
Ufc1	2.1657	0.04703	0.49776	0.956463
Lpin1	1.9127	0.020944	0.87896	0.685749
Rragc	2.3092	0.092822	0.65708	0.89572
Pigs	1.2225	0.092822	0.74105	0.841869
Slc6a4	2.0247	0.010314	1.4952	0.267052
Axin1	1.826	0.043612	0.42398	0.891735
Sdhb	2.2719	0.004125	1.0812	0.496005
Znrf3	1.6782	0.090442	1.062	0.685749
Dlst	2.3737	0.00099	1.2055	0.20754
Tjp1	1.3514	0.033911	0.13717	0.973283
Rraga	1.6565	0.030033	0.82312	0.782858
Isca2	1.7134	0.010314	0.44817	0.963461
Fosl1	2.1256	0.007151	0.15893	1
Ogdh	2.9404	0.00099	1.0139	0.303564
Ube2m	2.6412	0.00099	0.95422	0.267052
Glrx5	2.5689	0.00099	0.66787	0.608007
Pfkl	2.6343	0.00099	1.2569	0.194169
