id	tvsc.num	tvsc.neg.score	tvsc.neg.p.value	tvsc.neg.fdr	tvsc.neg.rank	tvsc.neg.goodsgrna	tvsc.neg.lfc	tvsc.pos.score	tvsc.pos.p.value	tvsc.pos.fdr	tvsc.pos.rank	tvsc.pos.goodsgrna	tvsc.pos.lfc	tvsp.num	tvsp.neg.score	tvsp.neg.p.value	tvsp.neg.fdr	tvsp.neg.rank	tvsp.neg.goodsgrna	tvsp.neg.lfc	tvsp.pos.score	tvsp.pos.p.value	tvsp.pos.fdr	tvsp.pos.rank	tvsp.pos.goodsgrna	tvsp.pos.lfc	tvsc.enriched	tvsc.depleted	tvsp.enriched	tvsp.depleted	sig.enriched	sig.depleted	sig
Nf2	5	1.6095e-08	2.6873e-07	0.002475	1	4	-2.0185	0.84191	0.84377	0.999998	15229	1	-2.0185	5	0.20268	0.3841	1	5823	3	-0.40559	0.86781	0.86839	1	15122	1	-0.40559	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Cnot2	10	5.6241e-08	2.6873e-07	0.002475	2	7	-1.7905	0.9665	0.97059	0.999998	17651	1	-1.7905	10	6.6775e-05	0.00055331	0.026136	321	7	-1.5428	0.82824	0.91597	1	14524	2	-1.5428	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Arid4a	5	3.6083e-07	1.3436e-06	0.006188	3	4	-2.3312	0.98047	0.9806	0.999998	17933	0	-2.3312	5	0.051133	0.14392	0.996554	2605	3	-1.1205	0.024905	0.076686	0.883506	1576	2	-1.1205	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Fbxw7	5	4.2452e-07	1.3436e-06	0.006188	4	5	-1.6733	0.99999	0.99999	0.999998	18421	0	-1.6733	5	0.017811	0.060654	0.647265	1687	4	-0.96396	0.97564	0.97579	1	17214	0	-0.96396	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Ralgapb	5	4.9462e-07	1.8811e-06	0.006931	5	5	-1.9114	1	1	0.999998	18422	0	-1.9114	5	0.0028184	0.012164	0.228192	958	5	-1.2628	0.99718	0.99718	1	17856	0	-1.2628	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Foxa2	5	7.4928e-07	2.956e-06	0.009076	6	5	-1.4975	0.99402	0.99402	0.999998	18258	0	-1.4975	5	8.2006e-05	0.00037326	0.019759	346	5	-1.4132	0.99992	0.99992	1	18212	0	-1.4132	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Slc33a1	5	8.6826e-07	3.4935e-06	0.009194	7	4	-1.9284	0.76829	0.7884	0.999998	14195	1	-1.9284	5	0.035958	0.10737	0.877464	2207	3	-1.0076	0.43926	0.59165	1	10425	1	-1.0076	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Kdm2b	5	9.5163e-07	4.0309e-06	0.009282	8	4	-1.7089	0.82625	0.83055	0.999998	14973	1	-1.7089	5	0.69919	0.79641	1	13384	1	0.041146	0.2485	0.42784	1	7718	1	0.041146	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Qrich1	5	1.4231e-06	4.5684e-06	0.009351	9	4	-1.2395	0.99172	0.99179	0.999998	18191	0	-1.2395	5	0.91819	0.91852	1	16329	0	-0.2124	0.88966	0.89015	1	15532	0	-0.2124	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Cdkn2a	6	1.7553e-06	1.263e-05	0.023267	10	3	-0.7519	0.55285	0.69732	0.999998	12152	2	-0.7519	6	0.22817	0.43921	1	6314	3	-0.14926	0.047526	0.13647	0.895874	2707	2	-0.14926	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Syvn1	5	3.8821e-06	1.693e-05	0.027799	11	5	-2.739	0.9991	0.9991	0.999998	18379	0	-2.739	5	0.00049536	0.0022726	0.071077	579	4	-2.3586	0.97853	0.97864	1	17287	0	-2.3586	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Eif2b5	5	4.7558e-06	1.9617e-05	0.027799	12	4	-2.4936	0.9761	0.97625	0.999998	17837	0	-2.4936	5	1.6022e-08	2.6873e-07	0.00019	8	5	-4.182	1	1	1	18417	0	-4.182	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Prelid1	4	4.9058e-06	1.8542e-05	0.027799	13	3	-4.0049	0.85114	0.85111	0.999998	15357	0	-4.0049	4	1.0496e-07	2.6873e-07	0.00019	24	4	-5.4155	1	1	1	18407	0	-5.4155	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Mapk6	5	5.0071e-06	2.1229e-05	0.027935	14	5	-1.4209	0.997	0.99699	0.999998	18322	0	-1.4209	5	0.039514	0.11615	0.910098	2307	3	-0.70997	0.86422	0.86496	1	15073	1	-0.70997	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Eif4a3	5	5.3737e-06	2.4454e-05	0.030033	15	3	-2.7811	0.51065	0.65426	0.999998	11630	1	-2.7811	5	3.0352e-07	8.0618e-07	0.000391	38	5	-5.5165	1	0.99999	1	18346	0	-5.5165	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Arhgef16	5	6.9768e-06	3.1979e-05	0.036819	16	3	-1.3388	0.94198	0.94221	0.999998	17161	0	-1.3388	5	0.024434	0.078039	0.742961	1897	4	-0.71282	0.86005	0.86108	1	15016	1	-0.71282	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Taf12	5	9.4503e-06	4.1653e-05	0.044033	17	4	-2.042	0.98658	0.98665	0.999998	18082	0	-2.042	5	5.2055e-05	0.00024669	0.015178	294	4	-2.1254	0.97246	0.97255	1	17156	0	-2.1254	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Polr2h	5	1.0027e-05	4.4877e-05	0.044033	18	4	-2.6041	0.92092	0.92127	0.999998	16737	0	-2.6041	5	4.0491e-06	1.8005e-05	0.002532	130	5	-4.1876	0.99996	0.99996	1	18263	0	-4.1876	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Adk	5	1.0219e-05	4.5415e-05	0.044033	19	5	-2.5902	0.99999	0.99999	0.999998	18420	0	-2.5902	5	3.234e-05	0.00015452	0.011605	243	5	-3.0642	0.99984	0.99985	1	18182	0	-3.0642	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Mnt	5	1.4332e-05	5.9926e-05	0.055198	20	3	-1.1061	0.91389	0.91423	0.999998	16601	0	-1.1061	5	0.82168	0.84935	1	14633	1	-0.077037	0.91829	0.91859	1	16053	0	-0.077037	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Gfra4	5	2.1008e-05	9.1099e-05	0.079915	21	4	-1.5032	0.98376	0.98385	0.999998	18012	0	-1.5032	5	0.023598	0.075913	0.731357	1869	4	-1.1167	0.99057	0.99062	1	17594	0	-1.1167	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Pcgf1	5	2.2709e-05	0.00010239	0.085734	22	3	-1.7461	0.95473	0.95498	0.999998	17417	0	-1.7461	5	0.42118	0.60047	1	9446	2	0.014944	0.11595	0.24768	0.959276	4714	2	0.014944	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Tcp1	5	2.971e-05	0.00013893	0.10396	23	4	-2.2601	0.56676	0.68813	0.999998	12254	1	-2.2601	5	3.5972e-08	2.6873e-07	0.00019	13	5	-4.5925	1	1	1	18405	0	-4.5925	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Fzr1	5	3.0096e-05	0.00014054	0.10396	24	4	-1.744	0.9468	0.94705	0.999998	17279	0	-1.744	5	0.00011337	0.00051246	0.024714	382	4	-1.7074	0.96413	0.96432	1	16984	0	-1.7074	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
