id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Syvn1	-2.9258	0.00055	-2.3586	0.071077
Gmppb	-4.2815	0.00055	-5.0157	0.00019
Eif2b4	-3.2743	0.00055	-3.5276	0.00019
Polr2j	-2.3499	0.001485	-3.2633	0.00019
Ddb1	-1.9447	0.001904	-2.3735	0.00019
Snrnp35	-2.1795	0.001904	-2.2481	0.040746
Tinf2	-2.7598	0.001904	-2.1132	0.009381
Ccna2	-2.805	0.004597	-2.9398	0.003128
Eif2b3	-3.4632	0.004675	-4.1558	0.00019
Foxa2	-1.2655	0.004675	-1.4132	0.019759
Triap1	-1.9532	0.005693	-1.6627	0.02062
Copb2	-1.8931	0.005893	-2.8018	0.00019
Snrpd3	-4.6746	0.008825	-5.2505	0.00019
Tcp1	-3.164	0.010451	-4.5925	0.00019
Med20	-3.0651	0.010451	-2.7291	0.046382
Phf5a	-2.3762	0.009282	-2.6172	0.045498
Smu1	-2.644	0.011779	-3.2068	0.000391
Mau2	-2.4256	0.011779	-2.2015	0.012201
Atad3a	-1.553	0.01284	-2.1329	0.005872
Alg9	-2.5704	0.013154	-2.9839	0.00019
Rpa1	-2.2604	0.013154	-2.6801	0.000917
Naa20	-2.614	0.01284	-2.987	0.00192
Prc1	-2.1323	0.01409	-2.9979	0.000527
Hmgcs1	-2.5308	0.014728	-2.8183	0.001238
Rpl34	-3.7931	0.01409	-4.3848	0.00019
Eif2b5	-3.3353	0.0163	-4.182	0.00019
Pmvk	-1.8842	0.016466	-2.4694	0.00019
Pgls	-1.449	0.016466	-1.254	0.061899
Rfc5	-3.5668	0.016466	-4.1503	0.00019
Uxs1	-2.5861	0.016466	-2.6347	0.001851
Imp3	-2.298	0.017169	-2.77	0.001289
Timm13	-2.3374	0.017372	-2.5224	0.001851
Gtf2b	-3.8988	0.017372	-4.1929	0.011401
Ankrd11	-1.494	0.017372	-1.701	0.003356
Elp6	-2.6364	0.017372	-2.4053	0.014064
Paics	-3.3857	0.017372	-3.2745	0.038188
Rps21	-1.9377	0.017372	-2.486	0.000391
Rrp7a	-1.8442	0.017372	-2.0561	0.005872
Prelid1	-4.8857	0.017372	-5.4155	0.00019
Kars	-2.9353	0.01902	-3.4335	0.000956
Pold1	-2.5807	0.019546	-3.0446	0.001851
Gpn1	-4.635	0.02248	-4.9058	0.000391
Timm44	-2.6091	0.023714	-3.2123	0.000917
Eif2s1	-3.7264	0.021205	-3.7959	0.01167
Atp6v0b	-2.1789	0.02601	-3.2046	0.01367
Dbr1	-2.896	0.033378	-3.4469	0.000527
Mmachc	-1.2725	0.033506	-1.2224	0.021579
Sf1	-2.6385	0.033506	-3.3506	0.005998
Arl2	-2.6251	0.033506	-3.6033	0.00019
Aldoa	-2.164	0.034441	-2.6193	0.00019
Mcm2	-2.1036	0.03563	-2.6462	0.002133
Rrp1	-2.2923	0.035822	-2.2131	0.043494
Eif4a3	-4.2753	0.035874	-5.5165	0.000391
Trmt6	-1.8018	0.038086	-2.4984	0.00019
Snrnp200	-1.8674	0.038125	-2.0447	0.000527
Tma16	-3.5954	0.038125	-3.9783	0.000391
Hk2	-2.5537	0.039416	-2.8998	0.019246
Upf1	-2.5104	0.041499	-2.371	0.001602
Rbm22	-2.5673	0.042051	-3.5908	0.00019
Psma4	-2.2526	0.042051	-3.4897	0.00019
Psmb4	-1.8171	0.042051	-2.2024	0.008911
Eef1e1	-2.3739	0.042051	-3.6963	0.000619
