id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Eif2b1	1.4675	0.023994	0.38099	0.701849
Gmps	1.3461	0.078218	0.23197	0.499457
Mzt1	1.2988	0.05325	0.10089	0.747484
Eefsec	1.7965	0.009997	0.43326	0.144647
Hgs	0.94022	0.09222	0.025341	0.845281
Wdr77	1.6346	0.004252	0.33873	0.83177
Lrrk2	0.79812	0.096943	0.29823	0.871302
Polr1a	1.0662	0.054032	0.31191	0.732805
Rpain	1.1165	0.029939	0.46476	0.726987
Hars	1.9413	0.000198	0.62461	0.535537
Metap2	1.1809	0.077463	0.10312	1
Yeats4	2.1864	0.006176	0.23034	1
Med20	1.3106	0.00763	0.35666	0.477819
Bysl	1.1009	0.050184	0.31102	0.665868
Aco2	1.8233	0.006177	0.00033413	0.979782
Mrpl12	1.1404	0.087906	0.35072	0.77615
Mis12	1.4805	0.093502	0.45309	0.444633
Rnaseh2c	0.94822	0.094362	0.03584	1
Prpf31	1.595	0.022038	0.29128	0.988991
Urb1	1.3124	0.063289	0.10073	1
Ndufs5	1.5411	0.032361	0.072343	1
Nfs1	1.5541	0.017931	0.13845	0.676438
Orc3	1.1822	0.067004	0.54305	0.334319
Rps25	1.7818	0.077463	0.60403	0.777441
Abcf1	1.046	0.008638	0.65187	0.192282
Krtap4-1	0.98511	0.095713	0.50385	0.877307
Pcdhb4	0.7479	0.097002	0.34871	0.962415
Mrgpre	0.68357	0.096867	0.2824	0.990332
Camk2g	0.92029	0.094983	0.43566	0.491037
Actr10	1.4274	0.026073	0.635	0.477819
Pdha1	0.58768	0.090301	0.02777	1
Hspd1	1.6581	0.015086	0.53573	0.537875
Mau2	1.1146	0.070421	0.031786	1
Snx5	0.747	0.081765	0.37129	0.945713
Nupl2	1.3502	0.032152	0.10996	1
Rad17	1.9625	0.010706	0.41047	0.611983
Tuba1c	2.0445	0.043963	0.86004	0.326851
Ddx55	1.6218	0.006188	0.19372	1
A430105I19Rik	0.82426	0.063289	0.67294	0.151886
Ndufs7	0.76634	0.056478	0.094862	1
Arl4c	0.75187	0.05495	0.23456	1
Supt5	0.73869	0.043639	0.63095	0.212029
Wbp11	1.594	0.00595	0.33559	0.777623
Rtel1	0.81098	0.041853	0.13651	0.899604
Gnb2	1.0434	0.041126	0.038247	1
Mettl3	1.0037	0.038144	0.34637	0.824578
Bex4	1.2279	0.034637	0.061923	1
Mmachc	0.80382	0.036845	0.067844	1
Snip1	0.68983	0.036741	0.26181	0.810882
Timm50	0.63798	0.036741	0.33439	0.726108
Fpgs	1.2753	0.031807	0.15646	1
Iars	1.2344	0.029462	0.13374	0.518805
Rbbp7	1.4867	0.029161	0.03014	1
Tinf2	1.4645	0.006587	0.64657	0.242791
AI597479	0.94755	0.024376	0.13809	1
Mrto4	1.0714	0.020399	0.65821	0.343107
Uri1	1.2199	0.018324	0.20588	1
Arfrp1	1.063	0.018081	0.18977	1
Fdxr	1.4647	0.017931	0.046236	1
Ccnb1	2.1304	0.011404	0.13755	0.945713
Junb	1.2768	0.015354	0.13018	1
Yrdc	0.90558	0.013499	0.18094	1
Rps16	1.5965	0.009934	0.02564	1
Triap1	1.4211	0.000788	0.48646	0.803232
Stk11	1.4618	0.000198	0.097708	1
Wdr55	1.6193	0.000198	0.38649	0.863628
