id	tvsc.num	tvsc.neg.score	tvsc.neg.p.value	tvsc.neg.fdr	tvsc.neg.rank	tvsc.neg.goodsgrna	tvsc.neg.lfc	tvsc.pos.score	tvsc.pos.p.value	tvsc.pos.fdr	tvsc.pos.rank	tvsc.pos.goodsgrna	tvsc.pos.lfc	tvsp.num	tvsp.neg.score	tvsp.neg.p.value	tvsp.neg.fdr	tvsp.neg.rank	tvsp.neg.goodsgrna	tvsp.neg.lfc	tvsp.pos.score	tvsp.pos.p.value	tvsp.pos.fdr	tvsp.pos.rank	tvsp.pos.goodsgrna	tvsp.pos.lfc	tvsc.enriched	tvsc.depleted	tvsp.enriched	tvsp.depleted	sig.enriched	sig.depleted	sig
Ambra1	5	6.3704e-11	2.6873e-07	0.002475	1	5	-1.0759	1	1	1	18422	0	-1.0759	5	0.10079	0.21314	1	3610	3	-0.25804	0.61156	0.70922	1	11942	1	-0.25804	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Kdm1a	5	1.8169e-09	2.6873e-07	0.002475	2	5	-1.1177	0.99999	0.99999	1	18418	0	-1.1177	5	0.84748	0.84786	1	14465	0	0.24306	0.039394	0.11422	0.871706	2386	4	0.24306	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Errfi1	5	1.6271e-07	8.0618e-07	0.00495	3	5	-0.76488	1	1	1	18421	0	-0.76488	5	0.37511	0.51465	1	7971	2	-0.01873	0.376	0.53268	1	9168	1	-0.01873	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Cdkn2a	6	2.0807e-07	2.956e-06	0.013614	4	4	-0.85668	0.95404	0.95417	1	17126	0	-0.85668	6	0.53358	0.64368	1	9442	1	0.037408	0.38724	0.57548	1	9310	2	0.037408	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Sowahd	5	1.4954e-06	5.6433e-06	0.017327	5	5	-0.72911	1	1	1	18420	0	-0.72911	5	0.35566	0.49329	1	7613	1	0.36537	0.035503	0.10429	0.867666	2191	4	0.36537	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Zfp191	5	1.4969e-06	5.6433e-06	0.017327	6	3	-0.3391	0.52394	0.66708	1	10675	1	-0.3391	5	0.096021	0.20453	1	3509	3	-0.25391	0.013805	0.045924	0.770505	1091	2	-0.25391	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Rock2	5	2.4745e-06	1.1018e-05	0.025371	7	5	-0.85755	1	1	1	18419	0	-0.85755	5	0.95959	0.95978	1	17085	0	0.56237	0.0004756	0.0021861	0.249205	158	4	0.56237	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Zeb1	5	2.5141e-06	1.1018e-05	0.025371	8	4	-0.77031	0.95967	0.95986	1	17273	0	-0.77031	5	0.99702	0.99701	1	18230	0	0.30348	0.0029806	0.012809	0.518805	447	5	0.30348	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Arhgef16	5	3.8719e-06	1.693e-05	0.034653	9	3	-0.55331	0.869	0.86943	1	15127	1	-0.55331	5	0.47987	0.56781	1	8928	1	-0.050577	0.58789	0.69938	1	11777	1	-0.050577	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Sin3b	5	1.2313e-05	5.1327e-05	0.079589	10	5	-0.66084	0.99999	0.99999	1	18417	0	-0.66084	5	0.44415	0.54978	1	8624	1	0.04069	0.76222	0.7859	1	13323	1	0.04069	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
