id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Taf9	1.3504	0.004624	0.71535	0.072843
Ppp1r10	0.79129	0.078716	1.3459	0.000354
Taf8	1.2972	0.068357	0.2632	0.02599
Bora	1.8067	0.001287	0.9724	0.006876
Emc1	1.0342	0.067901	0.80463	0.084158
Cct2	1.5054	0.015129	0.6714	0.093991
Ccnd3	0.84207	0.065687	1.0138	0.011204
Dis3	0.85803	0.040877	0.68944	0.019625
Impdh2	0.86124	0.009265	0.92913	0.093781
Romo1	1.2215	0.000788	1.048	0.000354
Phb2	2.2087	0.000198	0.84956	0.012269
Emg1	1.8317	0.000198	1.0219	0.078543
Fau	1.9005	0.000198	0.66127	0.054343
Hspa9	2.3414	0.000198	0.9049	0.020627
